Date,Time,PM2.5,PM10,SO2,CO,O3,NO2,Max,Critical Component,Category
4/1/2021,00:00:00,45,19,21,15,8,3,21,PM2.5,Good
4/1/2021,01:00:00,44,18,20,14,8,3,20,PM2.5,Good
4/1/2021,02:00:00,43,17,20,14,7,3,20,PM2.5,Good
4/1/2021,03:00:00,40,17,20,13,7,3,20,PM2.5,Good
4/1/2021,04:00:00,38,16,19,12,7,3,19,PM2.5,Good
4/1/2021,05:00:00,35,14,19,12,7,3,19,PM2.5,Good
4/1/2021,06:00:00,34,14,19,12,7,3,19,PM2.5,Good
4/1/2021,07:00:00,33,13,19,11,7,3,19,PM2.5,Good
4/1/2021,08:00:00,31,13,19,11,7,3,19,PM2.5,Good
4/1/2021,09:00:00,31,13,19,11,7,3,19,PM2.5,Good
4/1/2021,10:00:00,31,12,19,11,7,3,19,PM2.5,Good
4/1/2021,11:00:00,31,12,19,11,8,3,19,PM2.5,Good
4/1/2021,12:00:00,31,12,19,11,8,3,19,PM2.5,Good
4/1/2021,13:00:00,32,13,19,11,8,3,19,PM2.5,Good
4/1/2021,14:00:00,32,13,19,11,7,3,19,PM2.5,Good
4/1/2021,15:00:00,33,13,19,11,7,3,19,PM2.5,Good
4/1/2021,16:00:00,33,13,19,11,8,3,19,PM2.5,Good
4/1/2021,17:00:00,34,13,19,11,8,3,19,PM2.5,Good
4/1/2021,18:00:00,34,13,19,11,8,3,19,PM2.5,Good
4/1/2021,19:00:00,34,13,19,11,8,3,19,PM2.5,Good
4/1/2021,20:00:00,33,13,19,11,9,3,19,PM2.5,Good
4/1/2021,21:00:00,33,13,19,12,9,3,19,PM2.5,Good
4/1/2021,22:00:00,33,13,19,12,10,3,19,PM2.5,Good
4/1/2021,23:00:00,32,13,19,12,11,3,19,PM2.5,Good
4/2/2021,00:00:00,31,13,19,12,13,3,19,PM2.5,Good
4/2/2021,01:00:00,31,12,19,12,14,3,19,PM2.5,Good
4/2/2021,02:00:00,30,12,18,12,15,3,18,PM2.5,Good
4/2/2021,03:00:00,29,12,18,12,16,3,18,PM2.5,Good
4/2/2021,04:00:00,28,11,18,12,17,3,18,PM2.5,Good
4/2/2021,05:00:00,27,11,18,12,18,3,18,PM2.5,Good
4/2/2021,06:00:00,26,10,17,11,18,3,18,PM2.5,Good
4/2/2021,07:00:00,25,10,16,11,18,3,18,PM2.5,Good
