Date,Time,PM10,PM2.5,SO2,CO,O3,NO2,Max,Critical Component,Category
8/1/2021,00:00:00,10,24,,1,,3,24,PM2.5,Good
8/1/2021,01:00:00,11,24,,1,,3,24,PM2.5,Good
8/1/2021,02:00:00,11,24,,1,,3,24,PM2.5,Good
8/1/2021,03:00:00,11,24,,1,,3,24,PM2.5,Good
8/1/2021,04:00:00,11,24,,1,,3,24,PM2.5,Good
8/1/2021,05:00:00,11,24,,1,,3,24,PM2.5,Good
8/1/2021,06:00:00,11,24,,1,,3,24,PM2.5,Good
8/1/2021,07:00:00,10,24,,1,,3,24,PM2.5,Good
8/1/2021,08:00:00,10,24,,1,,3,24,PM2.5,Good
8/1/2021,09:00:00,10,23,,1,,3,23,PM2.5,Good
8/1/2021,10:00:00,10,23,,1,,3,23,PM2.5,Good
8/1/2021,11:00:00,10,23,,1,,3,23,PM2.5,Good
8/1/2021,12:00:00,10,23,,1,,3,23,PM2.5,Good
8/1/2021,13:00:00,10,23,,1,,3,23,PM2.5,Good
8/1/2021,14:00:00,10,23,,1,,3,23,PM2.5,Good
8/1/2021,15:00:00,10,23,,1,,3,23,PM2.5,Good
8/1/2021,16:00:00,10,22,,1,,3,22,PM2.5,Good
8/1/2021,17:00:00,10,22,,1,,3,22,PM2.5,Good
8/1/2021,18:00:00,10,22,,1,,3,22,PM2.5,Good
8/1/2021,19:00:00,10,22,,0,,3,22,PM2.5,Good
8/1/2021,20:00:00,10,22,,0,,3,22,PM2.5,Good
8/1/2021,21:00:00,10,22,,0,,3,22,PM2.5,Good
8/1/2021,22:00:00,10,22,,0,,3,22,PM2.5,Good
8/1/2021,23:00:00,9,22,,0,,3,22,PM2.5,Good
8/2/2021,00:00:00,9,21,,0,,3,21,PM2.5,Good
8/2/2021,01:00:00,9,21,,0,,3,21,PM2.5,Good
8/2/2021,02:00:00,9,21,,0,,3,21,PM2.5,Good
8/2/2021,03:00:00,9,21,,0,,3,21,PM2.5,Good
8/2/2021,04:00:00,9,21,,0,,3,21,PM2.5,Good
8/2/2021,05:00:00,9,21,,0,,2,21,PM2.5,Good
8/2/2021,06:00:00,9,20,,0,,3,20,PM2.5,Good
8/2/2021,07:00:00,9,21,,1,,3,21,PM2.5,Good
8/2/2021,08:00:00,9,21,,1,,3,21,PM2.5,Good
8/2/2021,09:00:00,9,21,,1,,3,21,PM2.5,Good
8/2/2021,10:00:00,9,21,,2,,3,21,PM2.5,Good
8/2/2021,11:00:00,9,20,,2,,3,20,PM2.5,Good
8/2/2021,12:00:00,9,20,,2,,3,20,PM2.5,Good
8/2/2021,13:00:00,9,20,,3,,3,20,PM2.5,Good
8/2/2021,14:00:00,8,19,,3,,3,19,PM2.5,Good
8/2/2021,15:00:00,8,19,,3,,3,19,PM2.5,Good
8/2/2021,16:00:00,8,19,,4,,3,19,PM2.5,Good
8/2/2021,17:00:00,8,19,,4,,3,19,PM2.5,Good
8/2/2021,18:00:00,8,19,,4,,2,19,PM2.5,Good
8/2/2021,19:00:00,8,18,,4,,2,18,PM2.5,Good
8/2/2021,20:00:00,8,18,,5,,2,18,PM2.5,Good
8/2/2021,21:00:00,8,18,,5,,2,18,PM2.5,Good
8/2/2021,22:00:00,8,18,,5,,2,18,PM2.5,Good
8/2/2021,23:00:00,8,18,,5,,2,18,PM2.5,Good
