Date,Time,PM10,PM2.5,SO2,CO,O3,NO2,Max,Critical Component,Category
12/1/2021,00:00:00,26,38,25,19,36,0,38,PM2.5,Good
12/1/2021,01:00:00,24,36,24,18,37,0,37,O3,Good
12/1/2021,02:00:00,23,34,23,18,38,0,38,O3,Good
12/1/2021,03:00:00,18,31,23,17,39,0,39,O3,Good
12/1/2021,04:00:00,17,31,22,17,40,0,40,O3,Good
12/1/2021,05:00:00,17,30,22,17,41,0,41,O3,Good
12/1/2021,06:00:00,16,29,22,17,42,0,42,O3,Good
12/1/2021,07:00:00,15,28,21,16,43,0,43,O3,Good
12/1/2021,08:00:00,15,28,21,16,43,0,43,O3,Good
12/1/2021,09:00:00,15,28,21,16,44,0,44,O3,Good
12/1/2021,10:00:00,15,28,21,16,44,0,44,O3,Good
12/1/2021,11:00:00,15,28,21,16,44,0,44,O3,Good
12/1/2021,12:00:00,15,28,21,16,45,0,45,O3,Good
12/1/2021,13:00:00,15,28,21,16,45,0,45,O3,Good
12/1/2021,14:00:00,15,28,21,16,45,0,45,O3,Good
12/1/2021,15:00:00,15,29,21,16,45,0,45,O3,Good
12/1/2021,16:00:00,14,29,21,16,45,0,45,O3,Good
12/1/2021,17:00:00,15,29,21,16,45,0,45,O3,Good
12/1/2021,18:00:00,17,29,21,16,45,0,45,O3,Good
12/1/2021,19:00:00,20,29,22,16,45,0,45,O3,Good
12/1/2021,20:00:00,21,28,22,16,44,0,44,O3,Good
12/1/2021,21:00:00,22,28,22,16,44,0,44,O3,Good
12/1/2021,22:00:00,22,27,22,16,44,0,44,O3,Good
12/1/2021,23:00:00,28,25,22,16,44,0,44,O3,Good
12/2/2021,00:00:00,29,25,22,16,44,0,44,O3,Good
12/2/2021,01:00:00,33,24,23,17,43,0,43,O3,Good
12/2/2021,02:00:00,42,24,23,17,42,0,42,PM10,Good
12/2/2021,03:00:00,42,24,24,17,41,0,42,PM10,Good
12/2/2021,04:00:00,42,23,25,18,40,0,42,PM10,Good
12/2/2021,05:00:00,42,23,25,18,39,0,42,PM10,Good
12/2/2021,06:00:00,44,22,25,18,39,0,44,PM10,Good
12/2/2021,07:00:00,44,21,25,18,38,0,44,PM10,Good
12/2/2021,08:00:00,44,20,25,18,38,0,44,PM10,Good
12/2/2021,09:00:00,44,19,24,18,38,0,44,PM10,Good
12/2/2021,10:00:00,43,19,24,18,38,0,43,PM10,Good
12/2/2021,11:00:00,43,19,24,17,38,0,43,PM10,Good
12/2/2021,12:00:00,43,19,24,17,38,0,43,PM10,Good
12/2/2021,13:00:00,43,19,24,17,38,0,43,PM10,Good
12/2/2021,14:00:00,43,19,24,17,38,0,43,PM10,Good
12/2/2021,15:00:00,43,19,24,17,37,0,43,PM10,Good
12/2/2021,16:00:00,43,19,24,17,38,0,43,PM10,Good
12/2/2021,17:00:00,43,19,24,17,37,0,43,PM10,Good
12/2/2021,18:00:00,,,,,,,0,,Good
12/2/2021,19:00:00,,,,,,,0,,Good
12/2/2021,20:00:00,39,19,24,17,37,0,39,PM10,Good
12/2/2021,21:00:00,,,,,,,0,,Good
12/2/2021,22:00:00,38,19,23,17,38,0,38,PM10,Good
12/2/2021,23:00:00,29,19,22,17,38,0,38,O3,Good
12/3/2021,00:00:00,,,,,,,0,,Good
12/3/2021,01:00:00,24,19,20,16,40,0,40,O3,Good
12/3/2021,02:00:00,,,,,,,0,,Good
12/3/2021,03:00:00,,,,,,,0,,Good
12/3/2021,04:00:00,,,,,,,0,,Good
12/3/2021,05:00:00,,,,,,,0,,Good
12/3/2021,06:00:00,,,,,,,0,,Good
12/3/2021,07:00:00,,,,,,,0,,Good
12/3/2021,08:00:00,,,,,,,0,,Good
12/3/2021,09:00:00,,,,,,,0,,Good
12/3/2021,10:00:00,,,,,,,0,,Good
12/3/2021,11:00:00,,,,,,,0,,Good
12/3/2021,12:00:00,,,,,,,0,,Good
12/3/2021,13:00:00,,,,,,,0,,Good
12/3/2021,14:00:00,,,,,,,0,,Good
12/3/2021,15:00:00,,,,,,,0,,Good
12/3/2021,16:00:00,,,,,,,0,,Good
12/3/2021,17:00:00,,,,,,,0,,Good
12/3/2021,18:00:00,,,,,,,0,,Good
12/3/2021,19:00:00,,,,,,,0,,Good
12/3/2021,20:00:00,,,,,,,0,,Good
12/3/2021,21:00:00,,,,,,,0,,Good
12/3/2021,22:00:00,,,,,,,0,,Good
12/3/2021,23:00:00,,,,,,,0,,Good
12/4/2021,00:00:00,,,,,,,0,,Good
12/4/2021,01:00:00,,,,,,,0,,Good
12/4/2021,02:00:00,,,,,,,0,,Good
12/4/2021,03:00:00,,,,,,,0,,Good
12/4/2021,04:00:00,,,,,,,0,,Good
12/4/2021,05:00:00,,,,,,,0,,Good
12/4/2021,06:00:00,,,,,,,0,,Good
12/4/2021,07:00:00,,,,,,,0,,Good
12/4/2021,08:00:00,,,,,,,0,,Good
12/4/2021,09:00:00,,,,,,,0,,Good
12/4/2021,10:00:00,,,,,,,0,,Good
12/4/2021,11:00:00,,,,,,,0,,Good
12/4/2021,12:00:00,,,,,,,0,,Good
12/4/2021,13:00:00,,,,,,,0,,Good
12/4/2021,14:00:00,,,,,,,0,,Good
12/4/2021,15:00:00,,,,,,,0,,Good
12/4/2021,16:00:00,,,,,,,0,,Good
12/4/2021,17:00:00,,,,,,,0,,Good
12/4/2021,18:00:00,,,,,,,0,,Good
12/4/2021,19:00:00,,,,,,,0,,Good
12/4/2021,20:00:00,,,,,,,0,,Good
12/4/2021,21:00:00,,,,,,,0,,Good
12/4/2021,22:00:00,,,,,,,0,,Good
12/4/2021,23:00:00,,,,,,,0,,Good
12/5/2021,00:00:00,,,,,,,0,,Good
12/5/2021,01:00:00,,,,,,,0,,Good
12/5/2021,02:00:00,,,,,,,0,,Good
12/5/2021,03:00:00,,,,,,,0,,Good
12/5/2021,04:00:00,,,,,,,0,,Good
12/5/2021,05:00:00,,,,,,,0,,Good
12/5/2021,06:00:00,,,,,,,0,,Good
12/5/2021,07:00:00,,,,,,,0,,Good
12/5/2021,08:00:00,,,,,,,0,,Good
12/5/2021,09:00:00,,,,,,,0,,Good
12/5/2021,10:00:00,,,,,,,0,,Good
12/5/2021,11:00:00,,,,,,,0,,Good
12/5/2021,12:00:00,,,,,,,0,,Good
12/5/2021,13:00:00,,,,,,,0,,Good
12/5/2021,14:00:00,,,,,,,0,,Good
12/5/2021,15:00:00,,,,,,,0,,Good
