Date,Time,PM10,PM2.5,SO2,CO,O3,NO2,Max,Critical Component,Category
2/1/2021,00:00:00,21,61,18,23,38,5,61,PM2.5,Moderate
2/1/2021,01:00:00,20,60,18,23,38,5,60,PM2.5,Moderate
2/1/2021,02:00:00,20,59,18,23,39,5,59,PM2.5,Moderate
2/1/2021,03:00:00,20,59,18,24,39,5,59,PM2.5,Moderate
2/1/2021,04:00:00,20,60,18,24,39,5,60,PM2.5,Moderate
2/1/2021,05:00:00,20,60,18,24,39,5,60,PM2.5,Moderate
2/1/2021,06:00:00,20,61,18,24,39,6,61,PM2.5,Moderate
2/1/2021,07:00:00,20,61,18,24,40,6,61,PM2.5,Moderate
2/1/2021,08:00:00,20,61,19,25,40,6,61,PM2.5,Moderate
2/1/2021,09:00:00,20,61,19,25,40,6,61,PM2.5,Moderate
2/1/2021,10:00:00,20,61,19,25,40,6,61,PM2.5,Moderate
2/1/2021,11:00:00,20,61,19,26,41,6,61,PM2.5,Moderate
2/1/2021,12:00:00,20,60,19,26,41,6,60,PM2.5,Moderate
2/1/2021,13:00:00,19,60,19,26,41,6,60,PM2.5,Moderate
2/1/2021,14:00:00,19,60,19,26,41,6,60,PM2.5,Moderate
2/1/2021,15:00:00,19,60,19,26,41,6,60,PM2.5,Moderate
2/1/2021,16:00:00,19,60,19,26,42,6,60,PM2.5,Moderate
2/1/2021,17:00:00,19,60,19,26,42,6,60,PM2.5,Moderate
2/1/2021,18:00:00,20,60,19,25,42,6,60,PM2.5,Moderate
2/1/2021,19:00:00,19,59,19,25,41,6,59,PM2.5,Moderate
2/1/2021,20:00:00,19,59,19,25,41,6,59,PM2.5,Moderate
2/1/2021,21:00:00,19,59,19,26,41,6,59,PM2.5,Moderate
2/1/2021,22:00:00,19,59,19,26,41,7,59,PM2.5,Moderate
2/1/2021,23:00:00,19,59,19,27,41,7,59,PM2.5,Moderate
2/2/2021,00:00:00,19,60,19,26,41,7,60,PM2.5,Moderate
2/2/2021,01:00:00,19,60,19,26,41,7,60,PM2.5,Moderate
2/2/2021,02:00:00,19,60,19,26,41,7,60,PM2.5,Moderate
2/2/2021,03:00:00,19,60,19,26,41,7,60,PM2.5,Moderate
2/2/2021,04:00:00,19,61,19,26,41,7,61,PM2.5,Moderate
2/2/2021,05:00:00,19,62,19,26,41,7,62,PM2.5,Moderate
2/2/2021,06:00:00,19,61,19,25,40,7,61,PM2.5,Moderate
2/2/2021,07:00:00,19,62,19,25,40,7,62,PM2.5,Moderate
2/2/2021,08:00:00,19,64,19,24,39,7,64,PM2.5,Moderate
2/2/2021,09:00:00,20,64,19,24,39,7,64,PM2.5,Moderate
2/2/2021,10:00:00,20,65,19,24,38,7,65,PM2.5,Moderate
2/2/2021,11:00:00,20,65,19,24,38,7,65,PM2.5,Moderate
2/2/2021,12:00:00,20,65,19,24,38,7,65,PM2.5,Moderate
2/2/2021,13:00:00,21,65,19,24,37,7,65,PM2.5,Moderate
2/2/2021,14:00:00,21,65,19,24,37,7,65,PM2.5,Moderate
2/2/2021,15:00:00,21,66,19,24,37,7,66,PM2.5,Moderate
2/2/2021,16:00:00,20,66,19,25,37,7,66,PM2.5,Moderate
2/2/2021,17:00:00,20,66,19,25,37,7,66,PM2.5,Moderate
2/2/2021,18:00:00,20,66,19,25,37,7,66,PM2.5,Moderate
2/2/2021,19:00:00,20,67,18,26,38,7,67,PM2.5,Moderate
2/2/2021,20:00:00,21,67,18,25,37,7,67,PM2.5,Moderate
2/2/2021,21:00:00,21,67,19,25,37,7,67,PM2.5,Moderate
2/2/2021,22:00:00,21,67,18,24,37,7,67,PM2.5,Moderate
2/2/2021,23:00:00,20,67,19,24,37,7,67,PM2.5,Moderate
2/3/2021,00:00:00,20,66,18,24,37,7,66,PM2.5,Moderate
2/3/2021,01:00:00,20,66,18,24,37,7,66,PM2.5,Moderate
2/3/2021,02:00:00,20,67,19,24,37,7,67,PM2.5,Moderate
2/3/2021,03:00:00,20,67,19,24,37,7,67,PM2.5,Moderate
2/3/2021,04:00:00,20,66,19,24,37,7,66,PM2.5,Moderate
2/3/2021,05:00:00,20,66,19,24,37,7,66,PM2.5,Moderate
2/3/2021,06:00:00,20,66,19,25,37,8,66,PM2.5,Moderate
2/3/2021,07:00:00,20,66,19,25,37,8,66,PM2.5,Moderate
2/3/2021,08:00:00,20,66,19,25,37,8,66,PM2.5,Moderate
2/3/2021,09:00:00,20,65,19,25,37,8,65,PM2.5,Moderate
2/3/2021,10:00:00,20,65,19,25,37,8,65,PM2.5,Moderate
2/3/2021,11:00:00,20,65,19,25,37,8,65,PM2.5,Moderate
2/3/2021,12:00:00,20,65,19,25,36,8,65,PM2.5,Moderate
2/3/2021,13:00:00,20,65,19,25,36,7,65,PM2.5,Moderate
