Date,Time,PM10,PM2.5,SO2,CO,O3,NO2,Max,Critical Component,Category
1/1/2021,00:00:00,13,40,0,25,0,0,40,PM2.5,Good
1/1/2021,01:00:00,12,38,0,24,0,0,38,PM2.5,Good
1/1/2021,02:00:00,11,35,0,23,0,0,35,PM2.5,Good
1/1/2021,03:00:00,10,32,0,22,0,0,32,PM2.5,Good
1/1/2021,04:00:00,9,29,0,21,0,0,29,PM2.5,Good
1/1/2021,05:00:00,8,26,0,20,0,0,26,PM2.5,Good
1/1/2021,06:00:00,8,24,0,20,0,0,24,PM2.5,Good
1/1/2021,07:00:00,7,23,0,20,0,0,23,PM2.5,Good
1/1/2021,08:00:00,7,23,0,21,0,0,23,PM2.5,Good
1/1/2021,09:00:00,7,23,0,21,0,0,23,PM2.5,Good
1/1/2021,10:00:00,7,22,0,21,0,0,22,PM2.5,Good
1/1/2021,11:00:00,7,21,0,21,0,0,21,PM2.5,Good
1/1/2021,12:00:00,7,20,0,20,0,0,20,PM2.5,Good
1/1/2021,13:00:00,6,19,0,20,0,0,20,CO,Good
1/1/2021,14:00:00,6,18,0,20,0,0,20,CO,Good
1/1/2021,15:00:00,6,18,0,20,0,0,20,CO,Good
1/1/2021,16:00:00,6,17,0,20,0,0,20,CO,Good
1/1/2021,17:00:00,6,18,0,20,0,0,20,CO,Good
1/1/2021,18:00:00,6,18,0,20,0,0,20,CO,Good
1/1/2021,19:00:00,6,18,0,20,0,0,20,CO,Good
1/1/2021,20:00:00,6,18,0,20,0,0,20,CO,Good
1/1/2021,21:00:00,6,18,0,20,0,0,20,CO,Good
1/1/2021,22:00:00,6,18,0,20,0,0,20,CO,Good
1/1/2021,23:00:00,6,19,0,20,0,0,20,CO,Good
1/2/2021,00:00:00,13,40,0,25,0,0,40,PM2.5,Good
1/2/2021,01:00:00,12,38,0,24,0,0,38,PM2.5,Good
1/2/2021,02:00:00,11,35,0,23,0,0,35,PM2.5,Good
1/2/2021,03:00:00,10,32,0,22,0,0,32,PM2.5,Good
1/2/2021,04:00:00,9,29,0,21,0,0,29,PM2.5,Good
1/2/2021,05:00:00,8,26,0,20,0,0,26,PM2.5,Good
1/2/2021,06:00:00,8,24,0,20,0,0,24,PM2.5,Good
1/2/2021,07:00:00,7,23,0,20,0,0,23,PM2.5,Good
1/2/2021,08:00:00,7,23,0,21,0,0,23,PM2.5,Good
1/2/2021,09:00:00,7,23,0,21,0,0,23,PM2.5,Good
1/2/2021,10:00:00,7,22,0,21,0,0,22,PM2.5,Good
1/2/2021,11:00:00,7,21,0,21,0,0,21,PM2.5,Good
1/2/2021,12:00:00,7,20,0,20,0,0,20,PM2.5,Good
1/2/2021,13:00:00,6,19,0,20,0,0,20,CO,Good
1/2/2021,14:00:00,6,18,0,20,0,0,20,CO,Good
1/2/2021,15:00:00,6,18,0,20,0,0,20,CO,Good
1/2/2021,16:00:00,6,17,0,20,0,0,20,CO,Good
1/2/2021,17:00:00,6,18,0,20,0,0,20,CO,Good
1/2/2021,18:00:00,6,18,0,20,0,0,20,CO,Good
1/2/2021,19:00:00,6,18,0,20,0,0,20,CO,Good
1/2/2021,20:00:00,6,18,0,20,0,0,20,CO,Good
1/2/2021,21:00:00,6,18,0,20,0,0,20,CO,Good
1/2/2021,22:00:00,6,18,0,20,0,0,20,CO,Good
1/2/2021,23:00:00,6,19,0,20,0,0,20,CO,Good
