Date,Time,PM10,PM2.5,SO2,CO,O3,NO2,Max,Critical Component,Category
7/1/2021,00:00:00,35,58,,11,,5,58,PM2.5,Moderate
7/1/2021,01:00:00,34,57,,10,,5,57,PM2.5,Moderate
7/1/2021,02:00:00,33,57,,10,,5,57,PM2.5,Moderate
7/1/2021,03:00:00,32,56,,10,,5,56,PM2.5,Moderate
7/1/2021,04:00:00,31,55,,9,,5,55,PM2.5,Moderate
7/1/2021,05:00:00,30,54,,9,,5,54,PM2.5,Moderate
7/1/2021,06:00:00,29,54,,9,,5,54,PM2.5,Moderate
7/1/2021,07:00:00,28,53,,8,,5,53,PM2.5,Moderate
7/1/2021,08:00:00,24,50,,8,,5,50,PM2.5,Good
7/1/2021,09:00:00,22,47,,7,,5,47,PM2.5,Good
7/1/2021,10:00:00,21,44,,7,,5,44,PM2.5,Good
7/1/2021,11:00:00,20,42,,7,,5,42,PM2.5,Good
7/1/2021,12:00:00,20,41,,7,,5,41,PM2.5,Good
7/1/2021,13:00:00,19,40,,7,,4,40,PM2.5,Good
7/1/2021,14:00:00,18,39,,7,,5,39,PM2.5,Good
7/1/2021,15:00:00,18,38,,6,,5,38,PM2.5,Good
7/1/2021,16:00:00,17,37,,6,,5,37,PM2.5,Good
7/1/2021,17:00:00,17,36,,6,,5,36,PM2.5,Good
7/1/2021,18:00:00,16,35,,5,,5,35,PM2.5,Good
7/1/2021,19:00:00,17,35,,5,,5,35,PM2.5,Good
7/1/2021,20:00:00,17,35,,5,,4,35,PM2.5,Good
7/1/2021,21:00:00,17,36,,6,,4,36,PM2.5,Good
7/1/2021,22:00:00,17,37,,6,,4,37,PM2.5,Good
7/1/2021,23:00:00,19,40,,7,,5,40,PM2.5,Good
7/2/2021,00:00:00,20,43,,8,,5,43,PM2.5,Good
7/2/2021,01:00:00,21,45,,8,,5,45,PM2.5,Good
7/2/2021,02:00:00,22,46,,8,,5,46,PM2.5,Good
7/2/2021,03:00:00,22,47,,8,,5,47,PM2.5,Good
7/2/2021,04:00:00,23,48,,8,,5,48,PM2.5,Good
7/2/2021,05:00:00,23,49,,8,,5,49,PM2.5,Good
7/2/2021,06:00:00,24,50,,8,,5,50,PM2.5,Good
7/2/2021,07:00:00,25,51,,8,,5,51,PM2.5,Moderate
7/2/2021,08:00:00,26,52,,8,,5,52,PM2.5,Moderate
7/2/2021,09:00:00,28,53,,8,,5,53,PM2.5,Moderate
7/2/2021,10:00:00,29,54,,8,,5,54,PM2.5,Moderate
7/2/2021,11:00:00,30,55,,9,,5,55,PM2.5,Moderate
7/2/2021,12:00:00,31,55,,9,,5,55,PM2.5,Moderate
7/2/2021,13:00:00,31,56,,10,,5,56,PM2.5,Moderate
7/2/2021,14:00:00,32,56,,11,,4,56,PM2.5,Moderate
7/2/2021,15:00:00,32,56,,11,,4,56,PM2.5,Moderate
7/2/2021,16:00:00,33,57,,12,,4,57,PM2.5,Moderate
7/2/2021,17:00:00,33,57,,12,,5,57,PM2.5,Moderate
7/2/2021,18:00:00,34,58,,12,,5,58,PM2.5,Moderate
7/2/2021,19:00:00,34,58,,13,,5,58,PM2.5,Moderate
7/2/2021,20:00:00,34,58,,13,,5,58,PM2.5,Moderate
7/2/2021,21:00:00,34,58,,13,,5,58,PM2.5,Moderate
7/2/2021,22:00:00,33,57,,12,,5,57,PM2.5,Moderate
7/2/2021,23:00:00,32,56,,12,,5,56,PM2.5,Moderate
7/3/2021,00:00:00,33,57,,12,,5,57,PM2.5,Moderate
7/3/2021,01:00:00,33,57,,12,,5,57,PM2.5,Moderate
7/3/2021,02:00:00,33,57,,12,,5,57,PM2.5,Moderate
7/3/2021,03:00:00,33,57,,12,,5,57,PM2.5,Moderate
7/3/2021,04:00:00,33,57,,12,,5,57,PM2.5,Moderate
7/3/2021,05:00:00,33,57,,12,,5,57,PM2.5,Moderate
7/3/2021,06:00:00,33,57,,12,,5,57,PM2.5,Moderate
7/3/2021,07:00:00,33,57,,12,,5,57,PM2.5,Moderate
7/3/2021,08:00:00,32,57,,12,,5,57,PM2.5,Moderate
7/3/2021,09:00:00,31,55,,11,,4,55,PM2.5,Moderate
7/3/2021,10:00:00,30,54,,11,,4,54,PM2.5,Moderate
