Date,Time,PM10,PM2.5,SO2,CO,O3,NO2,Max,Critical Component,Category
6/1/2021,00:00:00,20,48,21,8,14,5,48,PM2.5,Good
6/1/2021,01:00:00,20,49,21,8,14,5,49,PM2.5,Good
6/1/2021,02:00:00,21,50,21,8,14,5,50,PM2.5,Good
6/1/2021,03:00:00,21,51,21,9,15,5,51,PM2.5,Moderate
6/1/2021,04:00:00,22,51,22,9,16,5,51,PM2.5,Moderate
6/1/2021,05:00:00,23,52,22,9,17,5,52,PM2.5,Moderate
6/1/2021,06:00:00,23,52,22,9,19,5,52,PM2.5,Moderate
6/1/2021,07:00:00,23,52,23,10,21,5,52,PM2.5,Moderate
6/1/2021,08:00:00,25,53,23,9,23,5,53,PM2.5,Moderate
6/1/2021,09:00:00,25,53,23,9,25,5,53,PM2.5,Moderate
6/1/2021,10:00:00,25,53,23,9,26,5,53,PM2.5,Moderate
6/1/2021,11:00:00,25,53,22,9,28,5,53,PM2.5,Moderate
6/1/2021,12:00:00,25,54,22,10,29,5,54,PM2.5,Moderate
6/1/2021,13:00:00,25,54,22,10,32,5,54,PM2.5,Moderate
6/1/2021,14:00:00,25,54,22,10,34,5,54,PM2.5,Moderate
6/1/2021,15:00:00,26,54,21,11,36,5,54,PM2.5,Moderate
6/1/2021,16:00:00,26,54,21,11,38,5,54,PM2.5,Moderate
6/1/2021,17:00:00,26,54,20,11,39,5,54,PM2.5,Moderate
6/1/2021,18:00:00,26,54,19,11,41,4,54,PM2.5,Moderate
6/1/2021,19:00:00,26,54,18,11,42,4,54,PM2.5,Moderate
6/1/2021,20:00:00,25,54,18,11,45,4,54,PM2.5,Moderate
6/1/2021,21:00:00,25,53,17,11,47,4,53,PM2.5,Moderate
6/1/2021,22:00:00,25,53,17,11,48,4,53,PM2.5,Moderate
6/1/2021,23:00:00,25,53,17,11,49,5,53,PM2.5,Moderate
6/2/2021,00:00:00,24,53,17,11,49,4,53,PM2.5,Moderate
6/2/2021,01:00:00,24,52,17,11,48,4,52,PM2.5,Moderate
6/2/2021,02:00:00,25,53,17,10,47,4,53,PM2.5,Moderate
6/2/2021,03:00:00,24,53,16,10,46,4,53,PM2.5,Moderate
6/2/2021,04:00:00,24,52,16,10,45,4,52,PM2.5,Moderate
6/2/2021,05:00:00,25,52,16,10,43,4,52,PM2.5,Moderate
6/2/2021,06:00:00,25,53,16,10,40,4,53,PM2.5,Moderate
6/2/2021,07:00:00,25,53,16,9,38,4,53,PM2.5,Moderate
6/2/2021,08:00:00,25,53,16,10,36,4,53,PM2.5,Moderate
6/2/2021,09:00:00,25,53,16,10,34,4,53,PM2.5,Moderate
6/2/2021,10:00:00,26,54,16,10,32,4,54,PM2.5,Moderate
6/2/2021,11:00:00,26,54,16,10,30,4,54,PM2.5,Moderate
6/2/2021,12:00:00,27,54,16,10,29,4,54,PM2.5,Moderate
6/2/2021,13:00:00,27,55,17,11,27,4,55,PM2.5,Moderate
6/2/2021,14:00:00,28,55,17,11,25,5,55,PM2.5,Moderate
6/2/2021,15:00:00,29,56,17,11,24,5,56,PM2.5,Moderate
6/2/2021,16:00:00,30,57,17,11,22,5,57,PM2.5,Moderate
6/2/2021,17:00:00,32,58,17,12,21,5,58,PM2.5,Moderate
6/2/2021,18:00:00,32,59,16,12,21,5,59,PM2.5,Moderate
6/2/2021,19:00:00,34,60,16,12,21,5,60,PM2.5,Moderate
6/2/2021,20:00:00,34,61,16,12,21,6,61,PM2.5,Moderate
6/2/2021,21:00:00,35,61,16,12,20,6,61,PM2.5,Moderate
6/2/2021,22:00:00,36,62,16,12,20,6,62,PM2.5,Moderate
6/2/2021,23:00:00,36,62,16,12,19,6,62,PM2.5,Moderate
6/3/2021,00:00:00,37,63,16,12,19,6,63,PM2.5,Moderate
6/3/2021,01:00:00,37,63,15,12,19,6,63,PM2.5,Moderate
6/3/2021,02:00:00,35,61,15,12,19,6,61,PM2.5,Moderate
6/3/2021,03:00:00,35,62,15,13,20,7,62,PM2.5,Moderate
6/3/2021,04:00:00,36,62,15,13,20,7,62,PM2.5,Moderate
6/3/2021,05:00:00,37,63,14,13,21,7,63,PM2.5,Moderate
6/3/2021,06:00:00,37,62,14,13,21,7,62,PM2.5,Moderate
6/3/2021,07:00:00,37,63,14,13,22,7,63,PM2.5,Moderate
