Date,Time,PM10,PM2.5,SO2,CO,O3,NO2,Max,Critical Component,Category
3/1/2021,00:00:00,13,48,19,15,35,6,48,PM2.5,Good
3/1/2021,01:00:00,14,51,19,16,36,6,51,PM2.5,Moderate
3/1/2021,02:00:00,15,52,20,17,37,6,52,PM2.5,Moderate
3/1/2021,03:00:00,16,54,20,17,37,6,54,PM2.5,Moderate
3/1/2021,04:00:00,17,55,21,18,38,6,55,PM2.5,Moderate
3/1/2021,05:00:00,17,56,22,19,38,6,56,PM2.5,Moderate
3/1/2021,06:00:00,18,57,22,19,38,6,57,PM2.5,Moderate
3/1/2021,07:00:00,18,57,23,20,37,6,57,PM2.5,Moderate
3/1/2021,08:00:00,19,58,24,20,37,6,58,PM2.5,Moderate
3/1/2021,09:00:00,19,59,24,20,37,7,59,PM2.5,Moderate
3/1/2021,10:00:00,19,59,24,20,36,6,59,PM2.5,Moderate
3/1/2021,11:00:00,19,58,24,19,35,6,58,PM2.5,Moderate
3/1/2021,12:00:00,19,58,23,19,34,6,58,PM2.5,Moderate
3/1/2021,13:00:00,19,58,23,19,33,6,58,PM2.5,Moderate
3/1/2021,14:00:00,19,58,23,19,32,6,58,PM2.5,Moderate
3/1/2021,15:00:00,19,58,23,19,32,6,58,PM2.5,Moderate
3/1/2021,16:00:00,19,59,23,19,31,6,59,PM2.5,Moderate
3/1/2021,17:00:00,19,59,23,19,30,6,59,PM2.5,Moderate
3/1/2021,18:00:00,19,59,23,19,29,6,59,PM2.5,Moderate
3/1/2021,19:00:00,20,60,24,19,28,6,60,PM2.5,Moderate
3/1/2021,20:00:00,21,62,24,19,26,5,62,PM2.5,Moderate
3/1/2021,21:00:00,21,61,24,18,25,5,61,PM2.5,Moderate
3/1/2021,22:00:00,21,61,24,17,23,5,61,PM2.5,Moderate
3/1/2021,23:00:00,21,61,24,17,21,5,61,PM2.5,Moderate
3/2/2021,00:00:00,21,61,24,16,20,4,61,PM2.5,Moderate
3/2/2021,01:00:00,21,61,24,16,18,4,61,PM2.5,Moderate
3/2/2021,02:00:00,22,62,24,15,16,4,62,PM2.5,Moderate
3/2/2021,03:00:00,22,62,23,14,15,4,62,PM2.5,Moderate
3/2/2021,04:00:00,23,64,23,13,14,4,64,PM2.5,Moderate
3/2/2021,05:00:00,24,65,22,13,13,4,65,PM2.5,Moderate
3/2/2021,06:00:00,25,67,22,12,12,4,67,PM2.5,Moderate
3/2/2021,07:00:00,26,68,21,12,11,4,68,PM2.5,Moderate
3/2/2021,08:00:00,27,71,21,11,11,4,71,PM2.5,Moderate
3/2/2021,09:00:00,28,73,21,11,10,4,73,PM2.5,Moderate
3/2/2021,10:00:00,30,75,21,11,9,4,75,PM2.5,Moderate
3/2/2021,11:00:00,33,79,21,12,9,4,79,PM2.5,Moderate
3/2/2021,12:00:00,35,82,22,12,9,4,82,PM2.5,Moderate
3/2/2021,13:00:00,36,84,22,12,9,4,84,PM2.5,Moderate
3/2/2021,14:00:00,37,86,22,13,9,4,86,PM2.5,Moderate
3/2/2021,15:00:00,38,87,22,13,9,4,87,PM2.5,Moderate
3/2/2021,16:00:00,38,88,22,13,8,4,88,PM2.5,Moderate
3/2/2021,17:00:00,39,88,22,13,8,4,88,PM2.5,Moderate
3/2/2021,18:00:00,39,88,22,13,9,4,88,PM2.5,Moderate
3/2/2021,19:00:00,38,87,22,13,9,4,87,PM2.5,Moderate
3/2/2021,20:00:00,38,87,22,14,9,4,87,PM2.5,Moderate
3/2/2021,21:00:00,39,88,22,14,9,4,88,PM2.5,Moderate
3/2/2021,22:00:00,40,90,22,15,10,4,90,PM2.5,Moderate
3/2/2021,23:00:00,41,92,22,15,10,4,92,PM2.5,Moderate
3/3/2021,00:00:00,40,91,22,15,10,4,91,PM2.5,Moderate
3/3/2021,01:00:00,40,90,22,15,11,4,90,PM2.5,Moderate
3/3/2021,02:00:00,39,89,22,15,12,4,89,PM2.5,Moderate
3/3/2021,03:00:00,39,88,21,15,12,4,88,PM2.5,Moderate
