Date,Time,PM10,PM2.5,SO2,CO,O3,NO2,Max,Critical Component,Category
5/1/2021,00:00:00,22,53,17,12,,4,53,PM2.5,Moderate
5/1/2021,01:00:00,22,52,17,12,,4,52,PM2.5,Moderate
5/1/2021,02:00:00,21,52,17,12,,4,52,PM2.5,Moderate
5/1/2021,03:00:00,22,52,17,12,,4,52,PM2.5,Moderate
5/1/2021,04:00:00,22,53,17,12,,4,53,PM2.5,Moderate
5/1/2021,05:00:00,23,54,18,12,,4,54,PM2.5,Moderate
5/1/2021,06:00:00,25,55,17,12,,4,55,PM2.5,Moderate
5/1/2021,07:00:00,26,57,17,12,,4,57,PM2.5,Moderate
5/1/2021,08:00:00,27,57,17,11,,4,57,PM2.5,Moderate
5/1/2021,09:00:00,27,57,16,10,,4,57,PM2.5,Moderate
5/1/2021,10:00:00,27,58,16,10,,4,58,PM2.5,Moderate
5/1/2021,11:00:00,27,58,16,9,,4,58,PM2.5,Moderate
5/1/2021,12:00:00,28,58,15,9,,4,58,PM2.5,Moderate
5/1/2021,13:00:00,28,58,15,9,,5,58,PM2.5,Moderate
5/1/2021,14:00:00,28,58,15,8,,5,58,PM2.5,Moderate
5/1/2021,15:00:00,28,58,16,8,,5,58,PM2.5,Moderate
5/1/2021,16:00:00,28,59,16,7,,6,59,PM2.5,Moderate
5/1/2021,17:00:00,29,59,17,7,,6,59,PM2.5,Moderate
5/1/2021,18:00:00,30,60,17,7,,7,60,PM2.5,Moderate
5/1/2021,19:00:00,31,61,18,7,,7,61,PM2.5,Moderate
5/1/2021,20:00:00,31,61,19,7,,7,61,PM2.5,Moderate
5/1/2021,21:00:00,32,62,19,7,,7,62,PM2.5,Moderate
5/1/2021,22:00:00,33,63,20,7,,7,63,PM2.5,Moderate
5/1/2021,23:00:00,34,64,20,7,50,7,64,PM2.5,Moderate
5/2/2021,00:00:00,35,65,20,7,50,7,65,PM2.5,Moderate
5/2/2021,01:00:00,36,66,20,7,50,7,66,PM2.5,Moderate
5/2/2021,02:00:00,36,66,20,7,50,7,66,PM2.5,Moderate
5/2/2021,03:00:00,37,67,21,7,50,8,67,PM2.5,Moderate
5/2/2021,04:00:00,37,67,21,7,50,8,67,PM2.5,Moderate
5/2/2021,05:00:00,36,66,20,7,50,8,66,PM2.5,Moderate
5/2/2021,06:00:00,35,65,21,7,49,8,65,PM2.5,Moderate
5/2/2021,07:00:00,34,64,20,7,48,8,64,PM2.5,Moderate
5/2/2021,08:00:00,33,63,20,6,48,8,63,PM2.5,Moderate
5/2/2021,09:00:00,33,63,20,6,48,8,63,PM2.5,Moderate
5/2/2021,10:00:00,33,63,20,6,49,8,63,PM2.5,Moderate
5/2/2021,11:00:00,33,63,20,6,49,8,63,PM2.5,Moderate
5/2/2021,12:00:00,33,63,20,6,48,8,63,PM2.5,Moderate
5/2/2021,13:00:00,33,63,20,7,48,8,63,PM2.5,Moderate
5/2/2021,14:00:00,34,64,20,7,48,7,64,PM2.5,Moderate
5/2/2021,15:00:00,35,64,20,7,48,7,64,PM2.5,Moderate
5/2/2021,16:00:00,35,65,19,8,49,7,65,PM2.5,Moderate
5/2/2021,17:00:00,35,65,19,8,49,7,65,PM2.5,Moderate
5/2/2021,18:00:00,35,65,18,9,49,6,65,PM2.5,Moderate
5/2/2021,19:00:00,34,64,17,9,50,6,64,PM2.5,Moderate
5/2/2021,20:00:00,34,64,17,10,50,6,64,PM2.5,Moderate
5/2/2021,21:00:00,33,63,16,9,51,6,63,PM2.5,Moderate
5/2/2021,22:00:00,33,62,16,9,52,6,62,PM2.5,Moderate
5/2/2021,23:00:00,32,62,15,9,53,6,62,PM2.5,Moderate
5/3/2021,00:00:00,31,61,15,9,53,6,61,PM2.5,Moderate
5/3/2021,01:00:00,30,60,15,9,52,6,60,PM2.5,Moderate
5/3/2021,02:00:00,29,59,14,8,51,6,59,PM2.5,Moderate
5/3/2021,03:00:00,28,58,14,8,50,6,58,PM2.5,Moderate
5/3/2021,04:00:00,28,58,14,8,49,6,58,PM2.5,Moderate
5/3/2021,05:00:00,28,57,14,8,48,6,57,PM2.5,Moderate
5/3/2021,06:00:00,27,57,14,8,47,6,57,PM2.5,Moderate
5/3/2021,07:00:00,27,57,14,8,46,6,57,PM2.5,Moderate
5/3/2021,08:00:00,27,56,14,9,45,6,56,PM2.5,Moderate
5/3/2021,09:00:00,25,55,14,9,45,6,55,PM2.5,Moderate
5/3/2021,10:00:00,24,54,14,9,43,6,54,PM2.5,Moderate
5/3/2021,11:00:00,24,54,14,9,41,6,54,PM2.5,Moderate
5/3/2021,12:00:00,23,53,14,9,39,6,53,PM2.5,Moderate
5/3/2021,13:00:00,22,52,13,9,36,6,52,PM2.5,Moderate
5/3/2021,14:00:00,21,52,13,9,34,6,52,PM2.5,Moderate
5/3/2021,15:00:00,20,51,13,9,31,6,51,PM2.5,Moderate
5/3/2021,16:00:00,19,48,13,9,29,6,48,PM2.5,Good
5/3/2021,17:00:00,18,46,13,9,27,5,46,PM2.5,Good
5/3/2021,18:00:00,19,48,13,9,25,5,48,PM2.5,Good
5/3/2021,19:00:00,20,50,13,9,26,5,50,PM2.5,Good
5/3/2021,20:00:00,21,51,13,9,28,5,51,PM2.5,Moderate
5/3/2021,21:00:00,22,52,13,8,28,5,52,PM2.5,Moderate
5/3/2021,22:00:00,22,53,13,9,26,5,53,PM2.5,Moderate
5/3/2021,23:00:00,22,53,13,9,25,5,53,PM2.5,Moderate
5/4/2021,00:00:00,23,54,13,10,26,5,54,PM2.5,Moderate
5/4/2021,01:00:00,24,55,13,10,28,5,55,PM2.5,Moderate
5/4/2021,02:00:00,26,56,14,10,29,5,56,PM2.5,Moderate
5/4/2021,03:00:00,27,57,14,10,30,5,57,PM2.5,Moderate
5/4/2021,04:00:00,27,58,14,10,30,5,58,PM2.5,Moderate
5/4/2021,05:00:00,27,58,14,10,30,5,58,PM2.5,Moderate
5/4/2021,06:00:00,28,58,14,10,30,5,58,PM2.5,Moderate
5/4/2021,07:00:00,28,58,14,10,30,5,58,PM2.5,Moderate
5/4/2021,08:00:00,28,59,14,11,30,5,59,PM2.5,Moderate
5/4/2021,09:00:00,29,60,14,10,30,5,60,PM2.5,Moderate
5/4/2021,10:00:00,29,60,14,10,30,5,60,PM2.5,Moderate
5/4/2021,11:00:00,30,60,14,10,30,5,60,PM2.5,Moderate
5/4/2021,12:00:00,30,61,14,10,32,5,61,PM2.5,Moderate
5/4/2021,13:00:00,30,61,14,10,34,5,61,PM2.5,Moderate
5/4/2021,14:00:00,30,61,14,10,37,5,61,PM2.5,Moderate
5/4/2021,15:00:00,31,61,14,10,40,5,61,PM2.5,Moderate
5/4/2021,16:00:00,31,62,14,9,43,5,62,PM2.5,Moderate
5/4/2021,17:00:00,32,63,15,9,44,5,63,PM2.5,Moderate
5/4/2021,18:00:00,32,62,15,8,46,6,62,PM2.5,Moderate
5/4/2021,19:00:00,31,62,15,8,47,6,62,PM2.5,Moderate
5/4/2021,20:00:00,30,61,16,8,47,6,61,PM2.5,Moderate
5/4/2021,21:00:00,30,61,16,8,48,6,61,PM2.5,Moderate
5/4/2021,22:00:00,30,61,16,7,49,6,61,PM2.5,Moderate
5/4/2021,23:00:00,29,60,16,7,48,6,60,PM2.5,Moderate
5/5/2021,00:00:00,28,59,16,7,47,6,59,PM2.5,Moderate
5/5/2021,01:00:00,27,58,16,6,46,6,58,PM2.5,Moderate
5/5/2021,02:00:00,25,56,16,7,,6,56,PM2.5,Moderate
5/5/2021,03:00:00,25,56,16,7,,6,56,PM2.5,Moderate
5/5/2021,04:00:00,25,56,16,7,,6,56,PM2.5,Moderate
5/5/2021,05:00:00,25,56,16,7,,6,56,PM2.5,Moderate
5/5/2021,06:00:00,26,57,16,7,,6,57,PM2.5,Moderate
5/5/2021,07:00:00,26,57,16,7,,6,57,PM2.5,Moderate
5/5/2021,08:00:00,27,58,16,7,,6,58,PM2.5,Moderate
5/5/2021,09:00:00,28,59,16,8,,6,59,PM2.5,Moderate
5/5/2021,10:00:00,28,59,16,8,,6,59,PM2.5,Moderate
5/5/2021,11:00:00,29,60,16,8,,7,60,PM2.5,Moderate
5/5/2021,12:00:00,29,60,16,8,,7,60,PM2.5,Moderate
5/5/2021,13:00:00,29,60,17,8,,7,60,PM2.5,Moderate
5/5/2021,14:00:00,30,61,17,9,,7,61,PM2.5,Moderate
5/5/2021,15:00:00,30,61,17,9,,7,61,PM2.5,Moderate
5/5/2021,16:00:00,30,61,16,9,,7,61,PM2.5,Moderate
5/5/2021,17:00:00,29,60,16,9,,7,60,PM2.5,Moderate
5/5/2021,18:00:00,29,59,16,9,,6,59,PM2.5,Moderate
5/5/2021,19:00:00,28,59,16,10,,6,59,PM2.5,Moderate
5/5/2021,20:00:00,28,58,16,10,,6,58,PM2.5,Moderate
5/5/2021,21:00:00,27,58,16,10,,6,58,PM2.5,Moderate
5/5/2021,22:00:00,26,57,16,10,,6,57,PM2.5,Moderate
5/5/2021,23:00:00,26,57,16,11,,5,57,PM2.5,Moderate
5/6/2021,00:00:00,28,58,16,11,,5,58,PM2.5,Moderate
5/6/2021,01:00:00,29,59,17,11,,5,59,PM2.5,Moderate
5/6/2021,02:00:00,29,60,17,11,,5,60,PM2.5,Moderate
5/6/2021,03:00:00,29,60,17,11,,5,60,PM2.5,Moderate
5/6/2021,04:00:00,29,59,17,11,,5,59,PM2.5,Moderate
5/6/2021,05:00:00,29,59,17,11,,5,59,PM2.5,Moderate
5/6/2021,06:00:00,28,59,17,11,,5,59,PM2.5,Moderate
5/6/2021,07:00:00,28,58,18,11,,5,58,PM2.5,Moderate
5/6/2021,08:00:00,27,58,18,11,,5,58,PM2.5,Moderate
5/6/2021,09:00:00,26,57,18,11,,5,57,PM2.5,Moderate
5/6/2021,10:00:00,25,56,18,11,,5,56,PM2.5,Moderate
5/6/2021,11:00:00,24,55,18,11,,5,55,PM2.5,Moderate
5/6/2021,12:00:00,24,55,18,11,,4,55,PM2.5,Moderate
5/6/2021,13:00:00,24,55,18,11,,4,55,PM2.5,Moderate
5/6/2021,14:00:00,23,54,18,11,,4,54,PM2.5,Moderate
5/6/2021,15:00:00,23,54,18,10,,4,54,PM2.5,Moderate
5/6/2021,16:00:00,23,54,19,10,,4,54,PM2.5,Moderate
5/6/2021,17:00:00,23,53,19,10,,4,53,PM2.5,Moderate
5/6/2021,18:00:00,22,53,19,9,,4,53,PM2.5,Moderate
5/6/2021,19:00:00,22,53,20,9,,4,53,PM2.5,Moderate
5/6/2021,20:00:00,22,53,20,9,,4,53,PM2.5,Moderate
5/6/2021,21:00:00,23,53,20,9,,4,53,PM2.5,Moderate
5/6/2021,22:00:00,23,54,20,9,,4,54,PM2.5,Moderate
5/6/2021,23:00:00,24,54,20,9,,4,54,PM2.5,Moderate
5/7/2021,00:00:00,22,53,21,9,,4,53,PM2.5,Moderate
5/7/2021,01:00:00,21,52,21,9,,4,52,PM2.5,Moderate
5/7/2021,02:00:00,20,51,21,8,,4,51,PM2.5,Moderate
5/7/2021,03:00:00,20,51,21,8,,3,51,PM2.5,Moderate
5/7/2021,04:00:00,20,51,21,8,,3,51,PM2.5,Moderate
5/7/2021,05:00:00,19,50,21,8,,3,50,PM2.5,Good
5/7/2021,06:00:00,19,49,21,7,,3,49,PM2.5,Good
5/7/2021,07:00:00,18,49,20,6,,3,49,PM2.5,Good
5/7/2021,08:00:00,18,48,19,6,,3,48,PM2.5,Good
5/7/2021,09:00:00,18,47,19,6,,3,47,PM2.5,Good
5/7/2021,10:00:00,17,45,19,6,,3,45,PM2.5,Good
5/7/2021,11:00:00,17,44,19,6,,3,44,PM2.5,Good
5/7/2021,12:00:00,16,43,19,5,,3,43,PM2.5,Good
5/7/2021,13:00:00,16,43,19,5,,3,43,PM2.5,Good
5/7/2021,14:00:00,16,42,20,5,,3,42,PM2.5,Good
5/7/2021,15:00:00,16,42,20,5,,3,42,PM2.5,Good
5/7/2021,16:00:00,16,41,20,5,,4,41,PM2.5,Good
5/7/2021,17:00:00,15,41,20,5,,4,41,PM2.5,Good
5/7/2021,18:00:00,15,41,21,5,,4,41,PM2.5,Good
5/7/2021,19:00:00,15,41,21,5,,4,41,PM2.5,Good
5/7/2021,20:00:00,15,40,21,5,,4,40,PM2.5,Good
5/7/2021,21:00:00,14,39,22,5,,4,39,PM2.5,Good
5/7/2021,22:00:00,13,36,22,5,,4,36,PM2.5,Good
5/7/2021,23:00:00,15,39,22,5,,4,39,PM2.5,Good
5/8/2021,00:00:00,16,42,22,5,,4,42,PM2.5,Good
5/8/2021,01:00:00,17,45,22,5,,4,45,PM2.5,Good
5/8/2021,02:00:00,17,46,22,5,,4,46,PM2.5,Good
5/8/2021,03:00:00,17,46,22,5,,4,46,PM2.5,Good
5/8/2021,04:00:00,17,46,22,5,,4,46,PM2.5,Good
5/8/2021,05:00:00,18,47,22,5,,4,47,PM2.5,Good
5/8/2021,06:00:00,18,48,23,6,,4,48,PM2.5,Good
5/8/2021,07:00:00,18,48,23,6,,4,48,PM2.5,Good
5/8/2021,08:00:00,18,48,23,6,,4,48,PM2.5,Good
5/8/2021,09:00:00,19,48,23,6,,4,48,PM2.5,Good
5/8/2021,10:00:00,19,50,24,6,,4,50,PM2.5,Good
5/8/2021,11:00:00,20,51,24,6,40,4,51,PM2.5,Moderate
5/8/2021,12:00:00,20,51,24,6,39,4,51,PM2.5,Moderate
5/8/2021,13:00:00,20,51,24,7,38,4,51,PM2.5,Moderate
5/8/2021,14:00:00,21,52,24,7,37,4,52,PM2.5,Moderate
5/8/2021,15:00:00,21,52,23,7,38,4,52,PM2.5,Moderate
5/8/2021,16:00:00,21,52,23,7,38,4,52,PM2.5,Moderate
5/8/2021,17:00:00,21,52,22,8,38,4,52,PM2.5,Moderate
5/8/2021,18:00:00,21,52,22,8,38,4,52,PM2.5,Moderate
5/8/2021,19:00:00,21,52,22,9,38,5,52,PM2.5,Moderate
5/8/2021,20:00:00,21,52,22,10,39,5,52,PM2.5,Moderate
5/8/2021,21:00:00,21,52,22,11,39,5,52,PM2.5,Moderate
5/8/2021,22:00:00,22,53,22,12,39,5,53,PM2.5,Moderate
