Date,Time,PM10,PM2.5,SO2,CO,O3,NO2,Max,Critical Component,Category
11/1/2021,00:00:00,16,29,0,16,0,0,29,PM2.5,Good
11/1/2021,01:00:00,16,29,0,16,0,0,29,PM2.5,Good
11/1/2021,02:00:00,16,29,0,16,0,0,29,PM2.5,Good
11/1/2021,03:00:00,16,29,0,16,0,0,29,PM2.5,Good
11/1/2021,04:00:00,16,29,0,16,0,0,29,PM2.5,Good
11/1/2021,05:00:00,16,29,0,16,0,0,29,PM2.5,Good
11/1/2021,06:00:00,16,29,0,16,0,0,29,PM2.5,Good
11/1/2021,07:00:00,16,29,0,16,0,0,29,PM2.5,Good
11/1/2021,08:00:00,16,29,0,16,0,0,29,PM2.5,Good
11/1/2021,09:00:00,16,29,0,16,0,0,29,PM2.5,Good
11/1/2021,10:00:00,16,29,0,16,0,0,29,PM2.5,Good
11/1/2021,11:00:00,16,28,0,16,0,0,28,PM2.5,Good
11/1/2021,12:00:00,16,28,0,16,0,1,28,PM2.5,Good
11/1/2021,13:00:00,16,28,0,16,0,1,28,PM2.5,Good
11/1/2021,14:00:00,15,28,0,16,0,1,28,PM2.5,Good
11/1/2021,15:00:00,15,27,0,15,0,1,27,PM2.5,Good
11/1/2021,16:00:00,15,27,0,16,0,1,27,PM2.5,Good
11/1/2021,17:00:00,15,26,0,16,0,1,26,PM2.5,Good
11/1/2021,18:00:00,15,26,0,17,0,1,26,PM2.5,Good
11/1/2021,19:00:00,15,26,0,17,0,2,26,PM2.5,Good
11/1/2021,20:00:00,15,26,0,19,0,2,26,PM2.5,Good
11/1/2021,21:00:00,16,27,0,20,0,3,27,PM2.5,Good
11/1/2021,22:00:00,16,27,0,22,0,3,27,PM2.5,Good
11/1/2021,23:00:00,17,28,0,23,0,4,28,PM2.5,Good
11/2/2021,00:00:00,18,29,0,24,0,4,29,PM2.5,Good
11/2/2021,01:00:00,18,30,0,24,0,4,30,PM2.5,Good
11/2/2021,02:00:00,18,30,0,25,0,5,30,PM2.5,Good
11/2/2021,03:00:00,18,30,0,25,0,5,30,PM2.5,Good
11/2/2021,04:00:00,19,31,0,25,0,5,31,PM2.5,Good
11/2/2021,05:00:00,19,32,0,24,0,5,32,PM2.5,Good
11/2/2021,06:00:00,20,32,0,25,0,5,32,PM2.5,Good
11/2/2021,07:00:00,20,34,0,25,0,6,34,PM2.5,Good
11/2/2021,08:00:00,21,35,0,26,0,6,35,PM2.5,Good
11/2/2021,09:00:00,22,36,0,27,0,6,36,PM2.5,Good
11/2/2021,10:00:00,22,37,0,27,0,6,37,PM2.5,Good
11/2/2021,11:00:00,23,37,0,27,0,6,37,PM2.5,Good
11/2/2021,12:00:00,22,37,0,27,0,6,37,PM2.5,Good
11/2/2021,13:00:00,22,37,0,27,0,7,37,PM2.5,Good
11/2/2021,14:00:00,22,37,0,27,0,7,37,PM2.5,Good
11/2/2021,15:00:00,22,36,0,27,0,7,36,PM2.5,Good
11/2/2021,16:00:00,22,36,0,26,0,7,36,PM2.5,Good
11/2/2021,17:00:00,22,36,0,26,0,7,36,PM2.5,Good
11/2/2021,18:00:00,22,36,0,25,0,7,36,PM2.5,Good
11/2/2021,19:00:00,21,35,0,24,0,7,35,PM2.5,Good
11/2/2021,20:00:00,20,34,0,23,0,7,34,PM2.5,Good
11/2/2021,21:00:00,20,33,0,22,0,7,33,PM2.5,Good
11/2/2021,22:00:00,19,32,0,20,0,7,32,PM2.5,Good
11/2/2021,23:00:00,18,30,0,18,0,7,30,PM2.5,Good
11/3/2021,00:00:00,17,29,0,17,0,7,29,PM2.5,Good
11/3/2021,01:00:00,16,28,0,17,0,7,28,PM2.5,Good
11/3/2021,02:00:00,16,27,0,16,0,7,27,PM2.5,Good
11/3/2021,03:00:00,16,26,0,16,0,7,26,PM2.5,Good
11/3/2021,04:00:00,15,25,0,16,0,7,25,PM2.5,Good
11/3/2021,05:00:00,15,25,0,16,0,7,25,PM2.5,Good
11/3/2021,06:00:00,14,24,0,16,0,7,24,PM2.5,Good
11/3/2021,07:00:00,14,23,0,16,0,7,23,PM2.5,Good
11/3/2021,08:00:00,14,23,0,15,0,7,23,PM2.5,Good
11/3/2021,09:00:00,14,22,0,15,0,6,22,PM2.5,Good
11/3/2021,10:00:00,13,22,0,15,0,6,22,PM2.5,Good
11/3/2021,11:00:00,13,21,0,15,0,6,21,PM2.5,Good
11/3/2021,12:00:00,13,21,0,15,0,6,21,PM2.5,Good
11/3/2021,13:00:00,13,22,0,15,0,6,22,PM2.5,Good
11/3/2021,14:00:00,13,22,0,15,0,7,22,PM2.5,Good
11/3/2021,15:00:00,14,22,0,15,0,7,22,PM2.5,Good
11/3/2021,16:00:00,14,23,0,15,0,7,23,PM2.5,Good
11/3/2021,17:00:00,14,23,0,15,0,7,23,PM2.5,Good
11/3/2021,18:00:00,14,23,0,15,0,7,23,PM2.5,Good
11/3/2021,19:00:00,14,23,0,15,0,7,23,PM2.5,Good
11/3/2021,20:00:00,14,23,0,14,0,6,23,PM2.5,Good
11/3/2021,21:00:00,14,23,0,14,0,6,23,PM2.5,Good
11/3/2021,22:00:00,14,23,0,15,0,6,23,PM2.5,Good
11/3/2021,23:00:00,14,23,0,16,0,6,23,PM2.5,Good
11/4/2021,00:00:00,14,23,0,17,0,6,23,PM2.5,Good
11/4/2021,01:00:00,15,24,0,17,0,6,24,PM2.5,Good
11/4/2021,02:00:00,15,24,0,17,0,6,24,PM2.5,Good
11/4/2021,03:00:00,15,24,0,17,0,6,24,PM2.5,Good
11/4/2021,04:00:00,15,24,0,17,0,6,24,PM2.5,Good
11/4/2021,05:00:00,14,23,0,16,0,6,23,PM2.5,Good
11/4/2021,06:00:00,14,22,0,16,0,6,22,PM2.5,Good
11/4/2021,07:00:00,13,21,0,15,0,6,21,PM2.5,Good
11/4/2021,08:00:00,13,20,0,15,0,6,20,PM2.5,Good
11/4/2021,09:00:00,12,20,0,15,0,6,20,PM2.5,Good
11/4/2021,10:00:00,13,21,0,15,0,6,21,PM2.5,Good
11/4/2021,11:00:00,13,21,0,15,0,6,21,PM2.5,Good
11/4/2021,12:00:00,13,21,0,15,0,6,21,PM2.5,Good
11/4/2021,13:00:00,13,22,0,14,0,6,22,PM2.5,Good
11/4/2021,14:00:00,13,22,0,14,0,6,22,PM2.5,Good
11/4/2021,15:00:00,13,21,0,14,0,5,21,PM2.5,Good
11/4/2021,16:00:00,13,21,0,14,0,5,21,PM2.5,Good
11/4/2021,17:00:00,13,22,0,14,0,5,22,PM2.5,Good
11/4/2021,18:00:00,13,21,0,15,0,5,21,PM2.5,Good
11/4/2021,19:00:00,13,22,0,15,0,5,22,PM2.5,Good
11/4/2021,20:00:00,14,23,0,15,0,5,23,PM2.5,Good
11/4/2021,21:00:00,14,23,0,14,0,5,23,PM2.5,Good
11/4/2021,22:00:00,14,23,0,13,0,5,23,PM2.5,Good
11/4/2021,23:00:00,14,23,0,12,0,5,23,PM2.5,Good
11/5/2021,00:00:00,14,23,0,11,0,5,23,PM2.5,Good
11/5/2021,01:00:00,14,22,0,10,0,5,22,PM2.5,Good
11/5/2021,02:00:00,13,22,0,10,0,5,22,PM2.5,Good
11/5/2021,03:00:00,13,22,0,10,0,5,22,PM2.5,Good
11/5/2021,04:00:00,14,22,0,10,0,5,22,PM2.5,Good
11/5/2021,05:00:00,14,23,0,11,0,5,23,PM2.5,Good
11/5/2021,06:00:00,15,24,0,11,0,5,24,PM2.5,Good
11/5/2021,07:00:00,15,25,0,11,0,5,25,PM2.5,Good
11/5/2021,08:00:00,16,26,0,12,0,5,26,PM2.5,Good
11/5/2021,09:00:00,16,25,0,12,0,5,25,PM2.5,Good
11/5/2021,10:00:00,15,24,0,12,0,5,24,PM2.5,Good
11/5/2021,11:00:00,15,24,0,12,0,5,24,PM2.5,Good
11/5/2021,12:00:00,15,24,0,12,0,5,24,PM2.5,Good
11/5/2021,13:00:00,14,23,0,12,0,6,23,PM2.5,Good
11/5/2021,14:00:00,14,23,0,12,0,6,23,PM2.5,Good
11/5/2021,15:00:00,14,23,0,12,0,6,23,PM2.5,Good
11/5/2021,16:00:00,14,23,0,12,0,6,23,PM2.5,Good
11/5/2021,17:00:00,14,23,0,12,0,6,23,PM2.5,Good
11/5/2021,18:00:00,14,23,0,12,0,6,23,PM2.5,Good
11/5/2021,19:00:00,14,23,0,12,0,6,23,PM2.5,Good
