Date,Time,PM10,PM2.5,SO2,CO,O3,NO2,Max,Critical Component,Category
10/1/2021,00:00:00,19,35,0,7,5,4,35,PM2.5,Good
10/1/2021,01:00:00,19,35,0,7,5,4,35,PM2.5,Good
10/1/2021,02:00:00,18,34,0,7,6,4,34,PM2.5,Good
10/1/2021,03:00:00,16,30,0,7,7,4,30,PM2.5,Good
10/1/2021,04:00:00,16,30,0,7,8,4,30,PM2.5,Good
10/1/2021,05:00:00,16,29,1,7,9,4,29,PM2.5,Good
10/1/2021,06:00:00,16,29,1,7,11,4,29,PM2.5,Good
10/1/2021,07:00:00,16,30,1,7,12,4,30,PM2.5,Good
10/1/2021,08:00:00,16,30,2,7,13,4,30,PM2.5,Good
10/1/2021,09:00:00,16,29,2,7,14,4,29,PM2.5,Good
10/1/2021,10:00:00,16,29,2,7,14,4,29,PM2.5,Good
10/1/2021,11:00:00,15,28,2,7,14,4,28,PM2.5,Good
10/1/2021,12:00:00,15,27,2,7,14,4,27,PM2.5,Good
10/1/2021,13:00:00,14,26,2,7,14,4,26,PM2.5,Good
10/1/2021,14:00:00,13,25,2,6,14,4,25,PM2.5,Good
10/1/2021,15:00:00,13,24,2,6,14,4,24,PM2.5,Good
10/1/2021,16:00:00,12,23,2,6,14,4,23,PM2.5,Good
10/1/2021,17:00:00,12,23,2,6,14,4,23,PM2.5,Good
10/1/2021,18:00:00,12,23,2,6,14,4,23,PM2.5,Good
10/1/2021,19:00:00,12,23,2,6,14,4,23,PM2.5,Good
10/1/2021,20:00:00,12,23,2,6,14,4,23,PM2.5,Good
10/1/2021,21:00:00,12,23,2,6,15,4,23,PM2.5,Good
10/1/2021,22:00:00,13,24,2,7,16,4,24,PM2.5,Good
10/1/2021,23:00:00,13,25,2,7,17,4,25,PM2.5,Good
10/2/2021,00:00:00,14,26,2,7,18,4,26,PM2.5,Good
10/2/2021,01:00:00,15,27,2,7,19,4,27,PM2.5,Good
10/2/2021,02:00:00,16,28,3,8,21,4,28,PM2.5,Good
10/2/2021,03:00:00,16,28,4,8,22,3,28,PM2.5,Good
10/2/2021,04:00:00,16,29,4,8,24,3,29,PM2.5,Good
10/2/2021,05:00:00,16,29,5,8,24,3,29,PM2.5,Good
10/2/2021,06:00:00,16,29,5,8,25,3,29,PM2.5,Good
10/2/2021,07:00:00,17,30,6,8,25,3,30,PM2.5,Good
10/2/2021,08:00:00,16,29,6,8,26,3,29,PM2.5,Good
10/2/2021,09:00:00,16,29,7,7,27,3,29,PM2.5,Good
10/2/2021,10:00:00,16,29,7,7,29,3,29,PM2.5,Good
10/2/2021,11:00:00,16,29,8,7,31,3,31,O3,Good
10/2/2021,12:00:00,17,29,8,7,33,3,33,O3,Good
10/2/2021,13:00:00,17,30,9,7,35,3,35,O3,Good
10/2/2021,14:00:00,17,30,9,7,36,3,36,O3,Good
10/2/2021,15:00:00,17,30,9,7,38,3,38,O3,Good
10/2/2021,16:00:00,17,30,10,7,40,3,40,O3,Good
10/2/2021,17:00:00,17,30,10,7,41,3,41,O3,Good
10/2/2021,18:00:00,17,29,11,7,44,3,44,O3,Good
10/2/2021,19:00:00,16,29,12,7,46,3,46,O3,Good
10/2/2021,20:00:00,16,28,13,7,48,3,48,O3,Good
10/2/2021,21:00:00,15,27,14,7,50,3,50,O3,Good
10/2/2021,22:00:00,15,26,15,6,52,3,52,O3,Moderate
10/2/2021,23:00:00,14,25,16,6,54,3,54,O3,Moderate
10/3/2021,00:00:00,13,23,16,5,56,3,56,O3,Moderate
10/3/2021,01:00:00,12,22,17,5,57,3,57,O3,Moderate
10/3/2021,02:00:00,11,21,18,5,58,3,58,O3,Moderate
10/3/2021,03:00:00,11,20,19,5,59,3,59,O3,Moderate
10/3/2021,04:00:00,10,19,19,5,59,4,59,O3,Moderate
10/3/2021,05:00:00,10,19,20,5,59,4,59,O3,Moderate
10/3/2021,06:00:00,10,18,20,5,60,4,60,O3,Moderate
10/3/2021,07:00:00,10,18,21,5,61,4,61,O3,Moderate
10/3/2021,08:00:00,10,18,21,5,61,4,61,O3,Moderate
10/3/2021,09:00:00,10,18,21,4,62,4,62,O3,Moderate
10/3/2021,10:00:00,10,18,22,4,63,4,63,O3,Moderate
10/3/2021,11:00:00,10,18,22,4,63,4,63,O3,Moderate
10/3/2021,12:00:00,10,18,23,4,64,4,64,O3,Moderate
10/3/2021,13:00:00,10,18,23,4,64,4,64,O3,Moderate
10/3/2021,14:00:00,10,18,23,4,65,4,65,O3,Moderate
10/3/2021,15:00:00,10,18,24,4,65,4,65,O3,Moderate
10/3/2021,16:00:00,10,18,24,4,66,4,66,O3,Moderate
10/3/2021,17:00:00,10,18,24,4,67,4,67,O3,Moderate
10/3/2021,18:00:00,10,18,24,4,67,4,67,O3,Moderate
10/3/2021,19:00:00,10,18,24,4,67,4,67,O3,Moderate
10/3/2021,20:00:00,10,18,24,4,68,4,68,O3,Moderate
10/3/2021,21:00:00,10,18,24,4,68,4,68,O3,Moderate
10/3/2021,22:00:00,10,18,24,4,68,5,68,O3,Moderate
10/3/2021,23:00:00,10,18,24,4,69,5,69,O3,Moderate
10/4/2021,00:00:00,10,19,24,4,68,5,68,O3,Moderate
10/4/2021,01:00:00,10,19,25,4,68,5,68,O3,Moderate
10/4/2021,02:00:00,10,20,25,4,67,5,67,O3,Moderate
10/4/2021,03:00:00,11,20,25,4,67,5,67,O3,Moderate
10/4/2021,04:00:00,11,21,26,4,,5,26,SO2,Good
10/4/2021,05:00:00,11,21,26,4,,5,26,SO2,Good
10/4/2021,06:00:00,11,21,26,4,,5,26,SO2,Good
10/4/2021,07:00:00,11,21,26,5,,5,26,SO2,Good
10/4/2021,08:00:00,11,20,26,5,,5,26,SO2,Good
10/4/2021,09:00:00,11,20,26,5,,6,26,SO2,Good
10/4/2021,10:00:00,,,,,,,0,,Good
10/4/2021,11:00:00,,,,,,,0,,Good
10/4/2021,12:00:00,,,,,,,0,,Good
10/4/2021,13:00:00,10,19,27,6,,6,27,SO2,Good
10/4/2021,14:00:00,10,19,26,6,,6,26,SO2,Good
10/4/2021,15:00:00,10,19,25,6,,6,25,SO2,Good
10/4/2021,16:00:00,10,19,24,7,,6,24,SO2,Good
10/4/2021,17:00:00,10,19,23,7,,6,23,SO2,Good
10/4/2021,18:00:00,10,19,23,7,,6,23,SO2,Good
10/4/2021,19:00:00,10,19,22,7,,6,22,SO2,Good
10/4/2021,20:00:00,10,19,21,8,,6,21,SO2,Good
10/4/2021,21:00:00,10,20,19,8,,5,20,PM2.5,Good
10/4/2021,22:00:00,11,21,18,8,,5,21,PM2.5,Good
10/4/2021,23:00:00,12,23,17,9,,5,23,PM2.5,Good
10/5/2021,00:00:00,13,24,16,9,,5,24,PM2.5,Good
10/5/2021,01:00:00,13,25,14,9,,5,25,PM2.5,Good
10/5/2021,02:00:00,13,24,12,9,,5,24,PM2.5,Good
10/5/2021,03:00:00,13,24,11,9,,5,24,PM2.5,Good
10/5/2021,04:00:00,13,24,9,9,20,5,24,PM2.5,Good
10/5/2021,05:00:00,13,24,7,9,21,5,24,PM2.5,Good
10/5/2021,06:00:00,14,25,6,9,21,5,25,PM2.5,Good
10/5/2021,07:00:00,14,26,4,9,18,5,26,PM2.5,Good
10/5/2021,08:00:00,15,28,3,9,15,5,28,PM2.5,Good
10/5/2021,09:00:00,16,29,1,10,12,5,29,PM2.5,Good
10/5/2021,10:00:00,16,29,1,10,12,4,29,PM2.5,Good
10/5/2021,11:00:00,16,29,1,10,11,4,29,PM2.5,Good
10/5/2021,12:00:00,16,30,1,10,11,4,30,PM2.5,Good
10/5/2021,13:00:00,16,29,1,10,10,4,29,PM2.5,Good
10/5/2021,14:00:00,16,29,1,10,10,4,29,PM2.5,Good
10/5/2021,15:00:00,16,29,1,10,10,4,29,PM2.5,Good
10/5/2021,16:00:00,16,28,1,10,10,4,28,PM2.5,Good
10/5/2021,17:00:00,15,28,1,10,10,4,28,PM2.5,Good
10/5/2021,18:00:00,15,28,1,9,10,4,28,PM2.5,Good
10/5/2021,19:00:00,15,28,1,9,10,4,28,PM2.5,Good
10/5/2021,20:00:00,15,28,1,9,10,4,28,PM2.5,Good
10/5/2021,21:00:00,15,27,1,8,10,4,27,PM2.5,Good
10/5/2021,22:00:00,14,26,1,8,10,4,26,PM2.5,Good
10/5/2021,23:00:00,13,24,1,7,10,4,24,PM2.5,Good
10/6/2021,00:00:00,12,23,1,7,10,4,23,PM2.5,Good
10/6/2021,01:00:00,12,22,1,7,10,4,22,PM2.5,Good
10/6/2021,02:00:00,12,22,1,7,10,4,22,PM2.5,Good
10/6/2021,03:00:00,12,22,2,7,11,4,22,PM2.5,Good
10/6/2021,04:00:00,11,22,2,7,12,4,22,PM2.5,Good
10/6/2021,05:00:00,11,21,3,7,14,4,21,PM2.5,Good
10/6/2021,06:00:00,11,20,3,7,15,4,20,PM2.5,Good
10/6/2021,07:00:00,10,19,3,7,15,4,19,PM2.5,Good
10/6/2021,08:00:00,10,18,3,7,16,3,18,PM2.5,Good
10/6/2021,09:00:00,9,16,3,6,17,3,17,O3,Good
10/6/2021,10:00:00,8,16,3,6,17,3,17,O3,Good
10/6/2021,11:00:00,8,15,3,6,18,4,18,O3,Good
10/6/2021,12:00:00,7,14,3,5,19,4,19,O3,Good
10/6/2021,13:00:00,7,14,4,5,20,4,20,O3,Good
10/6/2021,14:00:00,7,14,4,5,21,4,21,O3,Good
10/6/2021,15:00:00,7,14,4,5,21,4,21,O3,Good
10/6/2021,16:00:00,7,14,4,5,22,4,22,O3,Good
10/6/2021,17:00:00,8,14,4,5,23,4,23,O3,Good
10/6/2021,18:00:00,8,14,4,5,24,4,24,O3,Good
10/6/2021,19:00:00,7,14,4,5,25,4,25,O3,Good
10/6/2021,20:00:00,7,14,4,6,27,4,27,O3,Good
10/6/2021,21:00:00,7,14,5,6,29,4,29,O3,Good
10/6/2021,22:00:00,7,14,5,7,31,4,31,O3,Good
10/6/2021,23:00:00,7,14,5,7,33,4,33,O3,Good
10/7/2021,00:00:00,7,14,6,7,34,4,34,O3,Good
10/7/2021,01:00:00,7,14,6,7,35,5,35,O3,Good
10/7/2021,02:00:00,7,14,6,7,36,5,36,O3,Good
10/7/2021,03:00:00,7,14,6,7,36,5,36,O3,Good
10/7/2021,04:00:00,7,14,6,7,36,5,36,O3,Good
10/7/2021,05:00:00,7,13,6,7,36,5,36,O3,Good
10/7/2021,06:00:00,7,13,6,7,36,5,36,O3,Good
10/7/2021,07:00:00,7,14,6,7,37,6,37,O3,Good
10/7/2021,08:00:00,8,15,6,7,37,6,37,O3,Good
10/7/2021,09:00:00,8,15,6,8,37,6,37,O3,Good
10/7/2021,10:00:00,8,15,6,8,38,6,38,O3,Good
10/7/2021,11:00:00,8,15,6,8,38,6,38,O3,Good
10/7/2021,12:00:00,8,16,6,8,38,6,38,O3,Good
10/7/2021,13:00:00,9,16,6,8,39,6,39,O3,Good
10/7/2021,14:00:00,9,16,6,8,39,6,39,O3,Good
10/7/2021,15:00:00,8,15,6,8,38,6,38,O3,Good
10/7/2021,16:00:00,8,15,6,8,37,6,37,O3,Good
10/7/2021,17:00:00,8,15,6,8,36,6,36,O3,Good
10/7/2021,18:00:00,8,15,6,8,35,6,35,O3,Good
10/7/2021,19:00:00,8,16,6,8,34,6,34,O3,Good
10/7/2021,20:00:00,9,16,6,8,32,6,32,O3,Good
10/7/2021,21:00:00,9,16,6,8,30,6,30,O3,Good
10/7/2021,22:00:00,9,16,5,8,27,6,27,O3,Good
10/7/2021,23:00:00,9,16,5,8,26,6,26,O3,Good
10/8/2021,00:00:00,9,17,4,8,24,6,24,O3,Good
10/8/2021,01:00:00,10,18,4,8,22,6,22,O3,Good
10/8/2021,02:00:00,10,19,4,8,20,6,20,O3,Good
10/8/2021,03:00:00,10,19,3,8,18,6,19,PM2.5,Good
10/8/2021,04:00:00,11,20,3,8,15,6,20,PM2.5,Good
10/8/2021,05:00:00,11,20,2,8,13,6,20,PM2.5,Good
10/8/2021,06:00:00,11,20,1,8,12,6,20,PM2.5,Good
10/8/2021,07:00:00,11,19,1,7,10,5,19,PM2.5,Good
10/8/2021,08:00:00,10,19,1,7,9,5,19,PM2.5,Good
10/8/2021,09:00:00,10,19,0,7,8,5,19,PM2.5,Good
10/8/2021,10:00:00,11,21,0,7,7,5,21,PM2.5,Good
10/8/2021,11:00:00,12,22,0,7,6,5,22,PM2.5,Good
10/8/2021,12:00:00,12,23,0,7,6,5,23,PM2.5,Good
10/8/2021,13:00:00,12,23,0,7,6,5,23,PM2.5,Good
10/8/2021,14:00:00,12,23,0,7,5,5,23,PM2.5,Good
10/8/2021,15:00:00,12,23,0,7,5,5,23,PM2.5,Good
10/8/2021,16:00:00,13,23,0,7,5,5,23,PM2.5,Good
10/8/2021,17:00:00,13,24,0,7,5,5,24,PM2.5,Good
10/8/2021,18:00:00,13,24,0,7,5,5,24,PM2.5,Good
10/8/2021,19:00:00,13,25,0,7,5,5,25,PM2.5,Good
10/8/2021,20:00:00,13,25,0,7,5,5,25,PM2.5,Good
10/8/2021,21:00:00,13,25,0,7,5,5,25,PM2.5,Good
10/8/2021,22:00:00,13,25,0,7,5,5,25,PM2.5,Good
10/8/2021,23:00:00,14,26,0,6,5,4,26,PM2.5,Good
10/9/2021,00:00:00,13,25,0,6,4,4,25,PM2.5,Good
10/9/2021,01:00:00,12,24,0,6,5,4,24,PM2.5,Good
10/9/2021,02:00:00,12,24,0,6,4,4,24,PM2.5,Good
10/9/2021,03:00:00,12,24,0,6,4,4,24,PM2.5,Good
10/9/2021,04:00:00,12,24,0,6,4,4,24,PM2.5,Good
10/9/2021,05:00:00,12,24,0,6,4,4,24,PM2.5,Good
10/9/2021,06:00:00,12,24,0,6,4,4,24,PM2.5,Good
10/9/2021,07:00:00,13,24,0,6,5,4,24,PM2.5,Good
10/9/2021,08:00:00,13,25,0,6,5,4,25,PM2.5,Good
10/9/2021,09:00:00,12,24,0,6,5,4,24,PM2.5,Good
10/9/2021,10:00:00,12,23,0,5,5,4,23,PM2.5,Good
10/9/2021,11:00:00,12,22,0,5,5,4,22,PM2.5,Good
10/9/2021,12:00:00,12,22,0,5,4,4,22,PM2.5,Good
10/9/2021,13:00:00,12,22,0,5,3,4,22,PM2.5,Good
10/9/2021,14:00:00,12,22,0,4,3,4,22,PM2.5,Good
10/9/2021,15:00:00,12,23,0,4,4,3,23,PM2.5,Good
10/9/2021,16:00:00,12,23,0,4,4,3,23,PM2.5,Good
10/9/2021,17:00:00,12,23,0,4,5,4,23,PM2.5,Good
10/9/2021,18:00:00,12,23,0,4,6,4,23,PM2.5,Good
10/9/2021,19:00:00,12,23,0,4,8,4,23,PM2.5,Good
10/9/2021,20:00:00,12,23,0,4,10,4,23,PM2.5,Good
10/9/2021,21:00:00,12,23,1,4,11,4,23,PM2.5,Good
10/9/2021,22:00:00,12,23,1,5,13,4,23,PM2.5,Good
10/9/2021,23:00:00,12,23,1,5,14,4,23,PM2.5,Good
10/10/2021,00:00:00,12,22,2,5,16,4,22,PM2.5,Good
10/10/2021,01:00:00,12,23,2,5,18,4,23,PM2.5,Good
10/10/2021,02:00:00,12,23,2,5,20,4,23,PM2.5,Good
10/10/2021,03:00:00,12,23,3,5,22,4,23,PM2.5,Good
10/10/2021,04:00:00,12,23,3,5,24,4,24,O3,Good
10/10/2021,05:00:00,12,23,4,5,26,4,26,O3,Good
10/10/2021,06:00:00,12,22,5,5,28,4,28,O3,Good
10/10/2021,07:00:00,12,22,6,5,30,4,30,O3,Good
10/10/2021,08:00:00,12,22,6,5,32,4,32,O3,Good
10/10/2021,09:00:00,12,22,7,5,33,4,33,O3,Good
10/10/2021,10:00:00,12,23,7,5,35,4,35,O3,Good
