Date,Time,PM10,PM2.5,SO2,CO,O3,NO2,Max,Critical Component,Category
9/1/2021,00:00:00,16,28,0,7,0,4,28,PM2.5,Good
9/1/2021,01:00:00,16,28,0,7,0,4,28,PM2.5,Good
9/1/2021,02:00:00,16,28,0,7,0,4,28,PM2.5,Good
9/1/2021,03:00:00,18,32,0,7,1,4,32,PM2.5,Good
9/1/2021,04:00:00,18,32,0,6,1,4,32,PM2.5,Good
9/1/2021,05:00:00,18,33,0,6,2,4,33,PM2.5,Good
9/1/2021,06:00:00,18,32,0,6,3,4,32,PM2.5,Good
9/1/2021,07:00:00,18,32,0,6,3,4,32,PM2.5,Good
9/1/2021,08:00:00,17,32,0,6,4,4,32,PM2.5,Good
9/1/2021,09:00:00,17,32,0,6,4,4,32,PM2.5,Good
9/1/2021,10:00:00,17,32,0,6,4,4,32,PM2.5,Good
9/1/2021,11:00:00,17,31,0,7,4,4,31,PM2.5,Good
9/1/2021,12:00:00,17,32,0,6,4,4,32,PM2.5,Good
9/1/2021,13:00:00,17,32,0,7,4,4,32,PM2.5,Good
9/1/2021,14:00:00,18,33,0,7,4,4,33,PM2.5,Good
9/1/2021,15:00:00,18,34,0,7,4,4,34,PM2.5,Good
9/1/2021,16:00:00,18,34,0,7,4,4,34,PM2.5,Good
9/1/2021,17:00:00,19,35,0,7,4,4,35,PM2.5,Good
9/1/2021,18:00:00,19,35,0,7,4,4,35,PM2.5,Good
9/1/2021,19:00:00,19,35,0,7,4,4,35,PM2.5,Good
9/1/2021,20:00:00,19,35,0,7,4,4,35,PM2.5,Good
9/1/2021,21:00:00,19,36,0,7,5,4,36,PM2.5,Good
9/1/2021,22:00:00,20,36,0,7,5,4,36,PM2.5,Good
9/1/2021,23:00:00,20,36,0,7,5,4,36,PM2.5,Good
9/2/2021,00:00:00,14,28,,9,,3,28,PM2.5,Good
9/2/2021,01:00:00,13,27,,9,,3,27,PM2.5,Good
9/2/2021,02:00:00,13,26,,9,,3,26,PM2.5,Good
9/2/2021,03:00:00,13,26,,9,,3,26,PM2.5,Good
9/2/2021,04:00:00,12,25,,9,,3,25,PM2.5,Good
9/2/2021,05:00:00,12,25,,9,,3,25,PM2.5,Good
9/2/2021,06:00:00,12,24,,9,,3,24,PM2.5,Good
9/2/2021,07:00:00,12,24,,8,,3,24,PM2.5,Good
9/2/2021,08:00:00,11,24,,8,,3,24,PM2.5,Good
9/2/2021,09:00:00,11,23,,8,,3,23,PM2.5,Good
9/2/2021,10:00:00,11,23,,8,,3,23,PM2.5,Good
9/2/2021,11:00:00,10,22,,8,,3,22,PM2.5,Good
9/2/2021,12:00:00,10,20,,8,,3,20,PM2.5,Good
9/2/2021,13:00:00,9,19,,8,,3,19,PM2.5,Good
9/2/2021,14:00:00,9,19,,8,,3,19,PM2.5,Good
9/2/2021,15:00:00,9,18,,8,,3,18,PM2.5,Good
9/2/2021,16:00:00,8,18,,8,,3,18,PM2.5,Good
9/2/2021,17:00:00,8,18,,8,,3,18,PM2.5,Good
9/2/2021,18:00:00,9,19,,8,,3,19,PM2.5,Good
9/2/2021,19:00:00,9,19,,7,,3,19,PM2.5,Good
9/2/2021,20:00:00,9,19,,7,,3,19,PM2.5,Good
9/2/2021,21:00:00,9,19,,7,,3,19,PM2.5,Good
9/2/2021,22:00:00,9,18,,7,,3,18,PM2.5,Good
9/2/2021,23:00:00,8,18,,7,,3,18,PM2.5,Good
9/3/2021,00:00:00,8,18,,7,,3,18,PM2.5,Good
9/3/2021,01:00:00,8,18,,7,,2,18,PM2.5,Good
9/3/2021,02:00:00,8,18,,7,,2,18,PM2.5,Good
9/3/2021,03:00:00,8,18,,7,,3,18,PM2.5,Good
9/3/2021,04:00:00,8,18,,7,,3,18,PM2.5,Good
9/3/2021,05:00:00,8,18,,7,,3,18,PM2.5,Good
9/3/2021,06:00:00,8,18,,6,,3,18,PM2.5,Good
9/3/2021,07:00:00,8,18,,6,,3,18,PM2.5,Good
9/3/2021,08:00:00,8,18,,6,,3,18,PM2.5,Good
9/3/2021,09:00:00,8,18,,6,,3,18,PM2.5,Good
9/3/2021,10:00:00,9,18,,6,,3,18,PM2.5,Good
9/3/2021,11:00:00,8,18,,6,,3,18,PM2.5,Good
9/3/2021,12:00:00,8,18,,6,,3,18,PM2.5,Good
9/3/2021,13:00:00,8,18,,6,,2,18,PM2.5,Good
9/3/2021,14:00:00,8,18,,6,,2,18,PM2.5,Good
9/3/2021,15:00:00,8,18,,6,,3,18,PM2.5,Good
9/3/2021,16:00:00,9,18,,6,,3,18,PM2.5,Good
9/3/2021,17:00:00,8,18,,6,,3,18,PM2.5,Good
9/3/2021,18:00:00,8,18,,6,,3,18,PM2.5,Good
9/3/2021,19:00:00,8,17,,6,,3,17,PM2.5,Good
9/3/2021,20:00:00,8,17,,6,,3,17,PM2.5,Good
9/3/2021,21:00:00,8,17,,7,,3,17,PM2.5,Good
9/3/2021,22:00:00,8,17,,7,,3,17,PM2.5,Good
9/3/2021,23:00:00,9,18,,8,,3,18,PM2.5,Good
9/4/2021,00:00:00,10,20,,8,,3,20,PM2.5,Good
9/4/2021,01:00:00,10,22,,8,,3,22,PM2.5,Good
9/4/2021,02:00:00,11,23,,8,,3,23,PM2.5,Good
9/4/2021,03:00:00,11,23,,8,,3,23,PM2.5,Good
9/4/2021,04:00:00,11,24,,9,,3,24,PM2.5,Good
9/4/2021,05:00:00,12,24,,9,,3,24,PM2.5,Good
9/4/2021,06:00:00,12,25,,9,,3,25,PM2.5,Good
9/4/2021,07:00:00,12,25,,9,,3,25,PM2.5,Good
9/4/2021,08:00:00,13,26,,9,,3,26,PM2.5,Good
9/4/2021,09:00:00,13,27,,9,,3,27,PM2.5,Good
9/4/2021,10:00:00,13,28,,9,,3,28,PM2.5,Good
9/4/2021,11:00:00,14,28,,9,,3,28,PM2.5,Good
9/4/2021,12:00:00,14,28,,9,,3,28,PM2.5,Good
9/4/2021,13:00:00,14,29,,9,,3,29,PM2.5,Good
9/4/2021,14:00:00,14,29,,9,,3,29,PM2.5,Good
9/4/2021,15:00:00,14,29,,9,,3,29,PM2.5,Good
9/4/2021,16:00:00,14,29,,9,,3,29,PM2.5,Good
9/4/2021,17:00:00,14,29,,9,,3,29,PM2.5,Good
9/4/2021,18:00:00,14,29,,9,,3,29,PM2.5,Good
9/4/2021,19:00:00,14,30,,9,,3,30,PM2.5,Good
9/4/2021,20:00:00,14,30,,9,,3,30,PM2.5,Good
9/4/2021,21:00:00,14,30,,9,,3,30,PM2.5,Good
9/4/2021,22:00:00,14,30,,9,,3,30,PM2.5,Good
9/4/2021,23:00:00,14,29,,8,,3,29,PM2.5,Good
9/5/2021,00:00:00,13,27,,8,,3,27,PM2.5,Good
9/5/2021,01:00:00,12,26,,8,,3,26,PM2.5,Good
9/5/2021,02:00:00,12,25,,8,,3,25,PM2.5,Good
9/5/2021,03:00:00,12,25,,8,,3,25,PM2.5,Good
9/5/2021,04:00:00,12,25,,8,,3,25,PM2.5,Good
9/5/2021,05:00:00,12,25,,8,,3,25,PM2.5,Good
9/5/2021,06:00:00,12,25,,8,,3,25,PM2.5,Good
9/5/2021,07:00:00,12,25,,7,,3,25,PM2.5,Good
9/5/2021,08:00:00,12,24,,7,,3,24,PM2.5,Good
9/5/2021,09:00:00,11,24,,7,,3,24,PM2.5,Good
9/5/2021,10:00:00,11,24,,7,,3,24,PM2.5,Good
9/5/2021,11:00:00,12,25,,7,,3,25,PM2.5,Good
9/5/2021,12:00:00,12,26,,7,,3,26,PM2.5,Good
9/5/2021,13:00:00,13,27,,7,,3,27,PM2.5,Good
9/5/2021,14:00:00,13,27,,7,,3,27,PM2.5,Good
9/5/2021,15:00:00,13,28,,7,,3,28,PM2.5,Good
9/5/2021,16:00:00,13,28,,7,,3,28,PM2.5,Good
9/5/2021,17:00:00,14,28,,7,,3,28,PM2.5,Good
9/5/2021,18:00:00,14,28,,7,,3,28,PM2.5,Good
9/5/2021,19:00:00,14,29,,8,,3,29,PM2.5,Good
9/5/2021,20:00:00,15,30,,8,,3,30,PM2.5,Good
9/5/2021,21:00:00,16,32,,8,,3,32,PM2.5,Good
9/5/2021,22:00:00,17,34,,8,,3,34,PM2.5,Good
9/5/2021,23:00:00,17,35,,8,,4,35,PM2.5,Good
9/6/2021,00:00:00,18,36,,9,,4,36,PM2.5,Good
9/6/2021,01:00:00,18,37,,9,,4,37,PM2.5,Good
9/6/2021,02:00:00,19,39,,9,,3,39,PM2.5,Good
9/6/2021,03:00:00,20,39,,9,,3,39,PM2.5,Good
9/6/2021,04:00:00,20,40,,9,,3,40,PM2.5,Good
9/6/2021,05:00:00,20,40,,9,,3,40,PM2.5,Good
9/6/2021,06:00:00,20,40,,9,,3,40,PM2.5,Good
9/6/2021,07:00:00,19,39,,9,,4,39,PM2.5,Good
9/6/2021,08:00:00,19,39,,9,,4,39,PM2.5,Good
9/6/2021,09:00:00,19,39,,9,,4,39,PM2.5,Good
9/6/2021,10:00:00,19,38,,9,,4,38,PM2.5,Good
9/6/2021,11:00:00,19,38,,9,,4,38,PM2.5,Good
9/6/2021,12:00:00,19,38,,9,,4,38,PM2.5,Good
9/6/2021,13:00:00,19,37,,9,,4,37,PM2.5,Good
9/6/2021,14:00:00,19,37,,9,,4,37,PM2.5,Good
9/6/2021,15:00:00,19,38,,9,,4,38,PM2.5,Good
9/6/2021,16:00:00,19,38,,9,,4,38,PM2.5,Good
9/6/2021,17:00:00,19,38,,9,,4,38,PM2.5,Good
9/6/2021,18:00:00,19,38,,9,,4,38,PM2.5,Good
9/6/2021,19:00:00,19,38,,9,,4,38,PM2.5,Good
9/6/2021,20:00:00,19,38,,9,,3,38,PM2.5,Good
9/6/2021,21:00:00,19,38,,9,,3,38,PM2.5,Good
9/6/2021,22:00:00,19,37,,9,,3,37,PM2.5,Good
9/6/2021,23:00:00,19,38,,9,,3,38,PM2.5,Good
9/7/2021,00:00:00,20,39,,9,,3,39,PM2.5,Good
9/7/2021,01:00:00,20,39,,9,,3,39,PM2.5,Good
9/7/2021,02:00:00,20,38,,9,,3,38,PM2.5,Good
9/7/2021,03:00:00,20,38,,9,,3,38,PM2.5,Good
9/7/2021,04:00:00,19,38,,9,,3,38,PM2.5,Good
9/7/2021,05:00:00,19,38,,9,,3,38,PM2.5,Good
